"filename", "language", "JavaScript", "Markdown", "Dotenv", "JSON", "HTML", "PostCSS", "XML", "comment", "blank", "total"
"d:\web_projects\01_inProgress\WynnPedia\.env", "Dotenv", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\web_projects\01_inProgress\WynnPedia\README.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 0, 14, 53
"d:\web_projects\01_inProgress\WynnPedia\app.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 0, 1, 28
"d:\web_projects\01_inProgress\WynnPedia\babel.config.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"d:\web_projects\01_inProgress\WynnPedia\eslint.config.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 1, 2, 12
"d:\web_projects\01_inProgress\WynnPedia\main.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 12, 60
"d:\web_projects\01_inProgress\WynnPedia\package-lock.json", "JSON", 0, 0, 0, 30958, 0, 0, 0, 0, 1, 30959
"d:\web_projects\01_inProgress\WynnPedia\package.json", "JSON", 0, 0, 0, 57, 0, 0, 0, 0, 1, 58
"d:\web_projects\01_inProgress\WynnPedia\preload.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\web_projects\01_inProgress\WynnPedia\public\index.html", "HTML", 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"d:\web_projects\01_inProgress\WynnPedia\src\App.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 8, 57
"d:\web_projects\01_inProgress\WynnPedia\src\Assests_components\Skills\agility.svg", "XML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 16
"d:\web_projects\01_inProgress\WynnPedia\src\Assests_components\Skills\defense.svg", "XML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 16
"d:\web_projects\01_inProgress\WynnPedia\src\Assests_components\Skills\dexterity.svg", "XML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 16
"d:\web_projects\01_inProgress\WynnPedia\src\Assests_components\Skills\intelligence.svg", "XML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 16
"d:\web_projects\01_inProgress\WynnPedia\src\Assests_components\Skills\strength.svg", "XML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 16
"d:\web_projects\01_inProgress\WynnPedia\src\Assests_components\ranks_tags\champ.svg", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"d:\web_projects\01_inProgress\WynnPedia\src\Assests_components\ranks_tags\hero.svg", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"d:\web_projects\01_inProgress\WynnPedia\src\Assests_components\ranks_tags\koprr.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\web_projects\01_inProgress\WynnPedia\src\Assests_components\ranks_tags\vip.svg", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"d:\web_projects\01_inProgress\WynnPedia\src\Assests_components\ranks_tags\vip_plus.svg", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"d:\web_projects\01_inProgress\WynnPedia\src\Assests_components\svg_backgrounds\Meteor.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\web_projects\01_inProgress\WynnPedia\src\Assests_components\svg_backgrounds\SoundWave.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\web_projects\01_inProgress\WynnPedia\src\Assests_components\svg_backgrounds\Sprinkle.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\web_projects\01_inProgress\WynnPedia\src\Assests_components\svg_backgrounds\blob-scene-haikei.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\web_projects\01_inProgress\WynnPedia\src\CSS\AchievementsComponent.css", "PostCSS", 0, 0, 0, 0, 0, 96, 0, 2, 5, 103
"d:\web_projects\01_inProgress\WynnPedia\src\CSS\ActivityCheckComponent.css", "PostCSS", 0, 0, 0, 0, 0, 52, 0, 5, 7, 64
"d:\web_projects\01_inProgress\WynnPedia\src\CSS\App.css", "PostCSS", 0, 0, 0, 0, 0, 232, 0, 23, 42, 297
"d:\web_projects\01_inProgress\WynnPedia\src\CSS\Classes.css", "PostCSS", 0, 0, 0, 0, 0, 123, 0, 2, 11, 136
"d:\web_projects\01_inProgress\WynnPedia\src\CSS\FooterComponent.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\web_projects\01_inProgress\WynnPedia\src\CSS\GuildPageComponent.css", "PostCSS", 0, 0, 0, 0, 0, 157, 0, 10, 17, 184
"d:\web_projects\01_inProgress\WynnPedia\src\CSS\HeaderComponent.css", "PostCSS", 0, 0, 0, 0, 0, 128, 0, 19, 17, 164
"d:\web_projects\01_inProgress\WynnPedia\src\CSS\ItemsComponent.css", "PostCSS", 0, 0, 0, 0, 0, 399, 0, 17, 42, 458
"d:\web_projects\01_inProgress\WynnPedia\src\CSS\LeaderboardComponent.css", "PostCSS", 0, 0, 0, 0, 0, 267, 0, 13, 21, 301
"d:\web_projects\01_inProgress\WynnPedia\src\CSS\NewsComponent.css", "PostCSS", 0, 0, 0, 0, 0, 42, 0, 0, 3, 45
"d:\web_projects\01_inProgress\WynnPedia\src\CSS\ProfileComponent.css", "PostCSS", 0, 0, 0, 0, 0, 401, 0, 16, 48, 465
"d:\web_projects\01_inProgress\WynnPedia\src\CSS\SettingsComponent.css", "PostCSS", 0, 0, 0, 0, 0, 49, 0, 2, 6, 57
"d:\web_projects\01_inProgress\WynnPedia\src\Components\AchievementsComponent.js", "JavaScript", 718, 0, 0, 0, 0, 0, 0, 5, 19, 742
"d:\web_projects\01_inProgress\WynnPedia\src\Components\ActivityCheckComponent.js", "JavaScript", 246, 0, 0, 0, 0, 0, 0, 12, 36, 294
"d:\web_projects\01_inProgress\WynnPedia\src\Components\FooterComponent.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 4, 10
"d:\web_projects\01_inProgress\WynnPedia\src\Components\GuildProfileComponent.js", "JavaScript", 935, 0, 0, 0, 0, 0, 0, 36, 50, 1021
"d:\web_projects\01_inProgress\WynnPedia\src\Components\HeaderComponent.js", "JavaScript", 469, 0, 0, 0, 0, 0, 0, 18, 37, 524
"d:\web_projects\01_inProgress\WynnPedia\src\Components\ItemsComponent.js", "JavaScript", 4439, 0, 0, 0, 0, 0, 0, 66, 138, 4643
"d:\web_projects\01_inProgress\WynnPedia\src\Components\LeaderboardComponent.js", "JavaScript", 1555, 0, 0, 0, 0, 0, 0, 49, 61, 1665
"d:\web_projects\01_inProgress\WynnPedia\src\Components\NewsComponent.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 2, 7, 67
"d:\web_projects\01_inProgress\WynnPedia\src\Components\ProfileComponent.js", "JavaScript", 1948, 0, 0, 0, 0, 0, 0, 20, 78, 2046
"d:\web_projects\01_inProgress\WynnPedia\src\PlayerContext.js", "JavaScript", 131, 0, 0, 0, 0, 0, 0, 4, 27, 162
"d:\web_projects\01_inProgress\WynnPedia\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\web_projects\01_inProgress\WynnPedia\src\index.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 2, 14
"Total", "-", 10652, 39, 1, 31043, 11, 1946, 116, 323, 724, 44855
